分区方案,收费分区,计费种类,开始重量段,截止重量段,计费单重,价格值,折扣
郑州邮政小包PLUS,1,单价,0.000000,2.000000,1.000000,70.000000,0.850000
郑州邮政小包PLUS,2,单价,0.000000,2.000000,1.000000,73.000000,0.850000
郑州邮政小包PLUS,3,单价,0.000000,2.000000,1.000000,70.000000,0.850000
郑州邮政小包PLUS,4,单价,0.000000,2.000000,1.000000,80.000000,0.850000
郑州邮政小包PLUS,5,单价,0.000000,2.000000,1.000000,80.000000,0.850000
郑州邮政小包PLUS,6,单价,0.000000,2.000000,1.000000,80.000000,0.850000
郑州邮政小包PLUS,7,单价,0.000000,2.000000,1.000000,80.000000,0.850000
郑州邮政小包PLUS,8,单价,0.000000,2.000000,1.000000,80.000000,0.850000
深圳邮政小包PLUS分区,1,单价,0.000000,2.000000,1.000000,70.000000,1.000000
深圳邮政小包PLUS分区,2,单价,0.000000,2.000000,1.000000,73.000000,1.000000
深圳邮政小包PLUS分区,3,单价,0.000000,2.000000,1.000000,70.000000,1.000000
深圳邮政小包PLUS分区,4,单价,0.000000,2.000000,1.000000,80.000000,1.000000
深圳邮政小包PLUS分区,5,单价,0.000000,2.000000,1.000000,80.000000,1.000000
深圳邮政小包PLUS分区,6,单价,0.000000,2.000000,1.000000,80.000000,1.000000
深圳邮政小包PLUS分区,7,单价,0.000000,2.000000,1.000000,80.000000,1.000000
深圳邮政小包PLUS分区,8,单价,0.000000,2.000000,1.000000,80.000000,1.000000
燕文中邮PLUS,1,单价,0.000000,2.000000,1.000000,70.000000,1.000000
燕文中邮PLUS,2,单价,0.000000,2.000000,1.000000,73.000000,1.000000
燕文中邮PLUS,3,单价,0.000000,2.000000,1.000000,70.000000,1.000000
燕文中邮PLUS,4,单价,0.000000,2.000000,1.000000,80.000000,1.000000
燕文中邮PLUS,5,单价,0.000000,2.000000,1.000000,80.000000,1.000000
燕文中邮PLUS,6,单价,0.000000,2.000000,1.000000,80.000000,1.000000
燕文中邮PLUS,7,单价,0.000000,2.000000,1.000000,80.000000,1.000000
燕文中邮PLUS,8,单价,0.000000,2.000000,1.000000,80.000000,1.000000
郑州邮政小包平邮分区NEW,1,总价,0.000000,0.050000,1.000000,2.480000,1.000000
郑州邮政小包平邮分区NEW,1,单价,0.051000,2.000000,1.000000,49.600000,1.000000
郑州邮政小包平邮分区NEW,2,总价,0.000000,0.050000,1.000000,2.720000,1.000000
郑州邮政小包平邮分区NEW,2,单价,0.051000,2.000000,1.000000,54.400000,1.000000
郑州邮政小包平邮分区NEW,3,总价,0.000000,0.050000,1.000000,3.000000,1.000000
郑州邮政小包平邮分区NEW,3,单价,0.051000,2.000000,1.000000,60.000000,1.000000
郑州邮政小包平邮分区NEW,4,总价,0.000000,0.050000,1.000000,3.400000,1.000000
郑州邮政小包平邮分区NEW,4,单价,0.051000,2.000000,1.000000,68.000000,1.000000
郑州邮政小包平邮分区NEW,5,总价,0.000000,0.050000,1.000000,4.200000,1.000000
郑州邮政小包平邮分区NEW,5,单价,0.051000,2.000000,1.000000,84.000000,1.000000
郑州邮政小包平邮分区NEW,6,总价,0.000000,0.050000,1.000000,4.800000,1.000000
郑州邮政小包平邮分区NEW,6,单价,0.051000,2.000000,1.000000,96.000000,1.000000
郑州邮政小包平邮分区NEW,7,总价,0.000000,0.050000,1.000000,4.100000,1.000000
郑州邮政小包平邮分区NEW,7,单价,0.051000,2.000000,1.000000,82.000000,1.000000
郑州邮政小包平邮分区NEW,8,总价,0.000000,0.050000,1.000000,3.320000,1.000000
郑州邮政小包平邮分区NEW,8,单价,0.051000,2.000000,1.000000,66.400000,1.000000
杭州E邮宝线下分区NEW,1,单价,0.000000,0.001000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.001000,0.002000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.002000,0.003000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.003000,0.004000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.004000,0.005000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.005000,0.006000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.006000,0.007000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.007000,0.008000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.008000,0.009000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.009000,0.010000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.010000,0.011000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.011000,0.012000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.012000,0.013000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.013000,0.014000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.014000,0.015000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.015000,0.016000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.016000,0.017000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.017000,0.018000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.018000,0.019000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.019000,0.020000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.020000,0.021000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.021000,0.022000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.022000,0.023000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.023000,0.024000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.024000,0.025000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.025000,0.026000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.026000,0.027000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.027000,0.028000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.028000,0.029000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.029000,0.030000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.030000,0.031000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.031000,0.032000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.032000,0.033000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.033000,0.034000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.034000,0.035000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.035000,0.036000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.036000,0.037000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.037000,0.038000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.038000,0.039000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.039000,0.040000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.040000,0.041000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.041000,0.042000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.042000,0.043000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.043000,0.044000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.044000,0.045000,1.000000,3.400000,1.000000
杭州E邮宝线下分区NEW,1,总价,0.045000,0.046000,1.000000,3.400000,1.000000
